"","ensembl","tissue_TMM","nCPM_1_TMM","nCPM_mid_placenta_TMM","nCPM_ratio_TMM","tissue_DESq","nCPM_1_DESq","nCPM_mid_placenta_DESq","nCPM_ratio_DESq","hgnc_symbol","description"
"1","ENSG00000187634","female_placenta_early",3.64290892604234,0.766673249146548,4.75157954199861,"female_placenta_early",4.06929665723534,0.788737478682624,5.15925357576772,"SAMD11","sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]"
"2","ENSG00000186891","female_placenta_early",2.26969312432072,0.140929722987913,16.1051414577419,"female_placenta_early",2.5154064430323,0.136743511914644,18.3950697756134,"TNFRSF18","TNF receptor superfamily member 18 [Source:HGNC Symbol;Acc:HGNC:11914]"
"3","ENSG00000162490","female_placenta_early",4.57350867339553,0.229037329930598,19.9683984911166,"female_placenta_early",5.11417688242955,0.217872629781849,23.4732416253949,"DRAXIN","dorsal inhibitory axon guidance protein [Source:HGNC Symbol;Acc:HGNC:25054]"
"4","ENSG00000120949","female_placenta_early",9.95408249923263,1.02512311805429,9.71013366484773,"female_placenta_early",10.8190984296111,0.967609635745932,11.1812636314547,"TNFRSF8","TNF receptor superfamily member 8 [Source:HGNC Symbol;Acc:HGNC:11923]"
"5","ENSG00000142623","female_placenta_early",4.22352285968501,1.13617864666786,3.71730526011168,"female_placenta_early",3.96515665121377,1.0432706072501,3.80069813494057,"PADI1","peptidyl arginine deiminase 1 [Source:HGNC Symbol;Acc:HGNC:18367]"
"6","ENSG00000179023","female_placenta_early",2.04318836228659,0.0255573813332755,79.9451374005354,"female_placenta_early",2.31732081405478,0.0265044726896378,87.4313117333121,"KLHDC7A","kelch domain containing 7A [Source:HGNC Symbol;Acc:HGNC:26791]"
"7","ENSG00000162543","female_placenta_early",8.13814736287486,2.46274852390514,3.30449791518719,"female_placenta_early",9.1996271361618,2.52253028092678,3.64698382640697,"UBXN10","UBX domain protein 10 [Source:HGNC Symbol;Acc:HGNC:26354]"
"8","ENSG00000162551","female_placenta_early",45.7441875009718,1.82912780263963,25.0087432026116,"female_placenta_early",43.1826278301079,1.85149746553582,23.3230823341208,"ALPL","alkaline phosphatase, biomineralization associated [Source:HGNC Symbol;Acc:HGNC:438]"
"9","ENSG00000162552","female_placenta_early",13.8593428176624,3.53432266895008,3.92135753178968,"female_placenta_early",15.0956955980001,3.34536302775764,4.5124237557317,"WNT4","Wnt family member 4 [Source:HGNC Symbol;Acc:HGNC:12783]"
"10","ENSG00000020633","female_placenta_early",4.24673482789933,0.564718202327663,7.52009552799092,"female_placenta_early",4.73608100773688,0.558593998245837,8.47857481929574,"RUNX3","RUNX family transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:10473]"
"11","ENSG00000176083","female_placenta_early",1.4257232032394,0.0296970054609489,48.0089888226004,"female_placenta_early",1.61669073800779,0.0319361945422452,50.622522851595,"ZNF683","zinc finger protein 683 [Source:HGNC Symbol;Acc:HGNC:28495]"
"12","ENSG00000175793","female_placenta_early",7.62264145787901,1.77677034791346,4.29016696886607,"female_placenta_early",7.87669408985685,1.73177994495072,4.54832273166265,"SFN","stratifin [Source:HGNC Symbol;Acc:HGNC:10773]"
"13","ENSG00000000938","female_placenta_early",11.6469725887553,2.78081549630533,4.18832986375033,"female_placenta_early",12.9341256102798,2.80239648191587,4.61538033384817,"FGR","FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]"
"14","ENSG00000130768","female_placenta_early",12.8732307017148,1.76975233171311,7.2740295187257,"female_placenta_early",12.2638437316686,1.76509410832678,6.947982928397,"SMPDL3B","sphingomyelin phosphodiesterase acid like 3B [Source:HGNC Symbol;Acc:HGNC:21416]"
"15","ENSG00000162512","female_placenta_early",125.889014355322,40.0251381848223,3.14524871279669,"female_placenta_early",136.546769694355,40.4792666795867,3.37325205950962,"SDC3","syndecan 3 [Source:HGNC Symbol;Acc:HGNC:10660]"
"16","ENSG00000084628","female_placenta_early",2.56614432072781,0.523958327453661,4.89761148219323,"female_placenta_early",2.72286539820422,0.518207071951469,5.2543964480269,"NKAIN1","sodium/potassium transporting ATPase interacting 1 [Source:HGNC Symbol;Acc:HGNC:25743]"
"17","ENSG00000185090","female_placenta_early",4.7181533796996,1.19804850597335,3.93819895953741,"female_placenta_early",4.9177316906947,1.18932795209341,4.13488279833892,"MANEAL","mannosidase endo-alpha like [Source:HGNC Symbol;Acc:HGNC:26452]"
"18","ENSG00000183682","female_placenta_early",1.70517149985309,0.119819002487809,14.2312276387594,"female_placenta_early",1.86296690524837,0.123166480086848,15.125599951665,"BMP8A","bone morphogenetic protein 8a [Source:HGNC Symbol;Acc:HGNC:21650]"
"19","ENSG00000117472","female_placenta_early",78.1225792325551,0.329005875091114,237.450407871653,"female_placenta_early",89.3113540394693,0.31529730774536,283.260756896785,"TSPAN1","tetraspanin 1 [Source:HGNC Symbol;Acc:HGNC:20657]"
"20","ENSG00000142973","female_placenta_early",15.499483391675,1.45856304404748,10.6265433331317,"female_placenta_early",17.4149184028009,1.43039382299507,12.1749116382062,"CYP4B1","cytochrome P450 family 4 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2644]"
"21","ENSG00000162366","female_placenta_early",24.4796936954204,0.422663545988097,57.9176840013304,"female_placenta_early",27.5303196665838,0.386124932223303,71.2989951414547,"PDZK1IP1","PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]"
"22","ENSG00000085831","female_placenta_early",21.3353219248707,1.21804113306188,17.5160931316322,"female_placenta_early",23.0054356996286,1.23165942226128,18.678406776925,"TTC39A","tetratricopeptide repeat domain 39A [Source:HGNC Symbol;Acc:HGNC:18657]"
